id_num	type	name	author	publisher	issue	form	ISBN	class_id	language	collector	sign	status	image
EF41934	단행본	우리는 과학을 디자인 한다	장경숙 ; 양순정	가나	"서울 : 가나, 1996."	262 p. ; 23 cm.	8943801394:	500	한국어	도서관/과학기술자료실-3층/ 	504 장14ㅇ	대출가능	We design science.gif
EM213623	단행본	타인의 해석 : 당신이 모르는 사람을 만났을 때	말콤 글래드웰 지음 ; 유강은 옮김.	김영사	"파주 : 김영사, 2020."	471 p. : 삽도 ; 23 cm.	9788934985747	330	한국어	도서관/인문사회자료실-6층/ 	331.18 글232ㅌ	대출중	Talking to strangers.jpg
EM213170	단행본	1cm 다이빙	장태수 ; 조문정	피카(FIKA)	"서울 : 피카 : FIKA, 2020."	247 p. ; 19 cm.	9791190299060	810	한국어	도서관/어문학자료실-2층/	814.6 장832ㅇ	대출중	1cm diving.jpg
EM212845	단행본	내가 원하는 것을 나도 모를 때 : 잃어버린 나를 찾는 인생의 문장들	전승환	다산초당	"파주 : 다산초당 : 다산북스, 2020."	335 p. : 채색삽도 ; 21 cm.	9791130627878	810	한국어	도서관/어문학자료실-2층/	814.6 전58ㄴ	대출중	When I don't know what I want.jpg
EM208436	단행본	나의 100년 : 쩌리들의 위대한 역사를 듣고 읽고 쓰다	스터즈 터클 지음 ; 신윤진 옮김.	이매진	"서울 : 이매진, 2019."	455 p. : 삽도 ; 23 cm.	9791155311028	320	한국어	도서관/인문사회자료실-6층/	326.7099 터828ㄴ	대출가능	My 100 years.jpg
EM151522	단행본	모든 게 다 우울한 밤에 : 나카무라 후미노리 장편소설	나카무라 후미노리 지음 ; 양윤옥 옮김.	이룸	"서울 : 이룸, 2009."	199 p. ; 19 cm.	9788957074428	830	한국어	도서관/어문학자료실-2층/	833.6 나821ㅁ	대출가능	On a gloomy night.jpg
EM152002	단행본	모든 게 다 우울한 밤에 : 나카무라 후미노리 장편소설	나카무라 후미노리 지음 ; 양윤옥 옮김.	이룸	"서울 : 이룸, 2010."	199 p. ; 19 cm.	9788957074428	830	한국어	도서관/어문학자료실-2층/	833.6 나821ㅁ 2	대출가능	On a gloomy night.jpg
EM172681	단행본	가방디자인의 창의적 스케치 = Creative sketches in bag designs	노승환 ; 강혜승 ; 최수아 ; 김이석 ; 윤수인	교문사	"파주 : 교문사, 2012."	"vii, 165 p. : 채색삽도 ; 25 cm."	9788936312060	630	한국어	도서관/어문학자료실-2층/ 	 639.5 노58ㄱ	대출가능	Creative sketches in bag designs.jpg
EM180736	단행본	페넘브라의 24시 서점 : 로빈 슬로언 장편소설	로빈 슬로언 지음 ; 오정아 옮김.	노블마인	"서울 : 노블마인 : 웅진씽크빅, 2013."	382 p. ; 22 cm.	9788901158839	840	한국어	도서관/어문학자료실-2층/ 	843 슬235ㅍ	대출가능	Penumbra's 24-hour bookstore.jpg
EM198430	단행본	"라이프니츠, 뉴턴 그리고 시간의 발명"	토마스 데 파도바 지음 ; 박규호 옮김.	은행나무	"서울 : 은행나무, 2016."	378 p. : 삽도 ; 22 cm.	9788956609027	440	한국어	도서관/어문학자료실-2층/ 	448 파225ㄹ	대출가능	"Leibniz, Newton and the invention of time.jpg"
EM181689	단행본	면접 잔혹사	이충섭	청림출판	"서울 : 청림, 2012."	229 p. ; 23 cm.	9788935209408	320	한국어	도서관/인문사회자료실-6층/	325.337 이817ㅁ	대출가능	Job interview cruelty.jpg
EM159625	단행본	요리가 맛있는 술집 = (The)soolzip	김수진 글 ; 이재희 사진.	비앤씨월드	"서울 : 비앤씨월드, 2010."	267 p. : 채색삽도 ; 22 cm.	9788988274651	590	한국어	도서관/과학기술자료실-3층/	594.019 김57ㅇ	대출가능	soolzip.jpg
EM167470 	단행본	상식파괴자	그레고리 번스 지음 ; 김정미 옮김.	비지니스맵	"서울 : 한국물가정보 : 비즈니스맵, 2011."	371 p. : 삽도 ; 23 cm.	9788962602005	510	한국어	도서관/과학기술자료실-3층/	511.1813 번58ㅅ	대출중	Common sense destroyer.jpg
EM202453 	단행본	"30년 차가 3년 차에게 : 직장생활 3년 차 때 주저앉을 것인가, 한 걸음 한 걸음 성장해나갈 것인가?"	이강은	클라우드나인	"서울 : 클라우드나인, 2018."	239 p. : 삽도 ; 23 cm.	9791186269916	190	한국어	도서관/인문사회자료실-6층/	194.2 이11ㅅ	대출가능	30 years to 3 years.jpg
ED12225	단행본	지렁이 카로 : 쉐퍼선생님의 '자연학교'	이마이즈미 미네코 지음 ; 최성현 옮김.	이후	"서울 : 이후, 2002."	123 p. : 삽도 ; 20 cm.	8988105435	370	한국어	도서관/인문사회자료실-6층/	375.1 이31ㅈ	대출가능	Earthworm Caro.gif
EM196424	단행본	나는 착한 딸을 그만두기로 했다 : 벼랑 끝을 달리는 엄마와 딸을 위한 관계 심리학	아사쿠라 마유미 ; 노부타 사요코 ; 김윤경 옮김.	북라이프	"서울 : 북라이프, 2017."	207 p. ; 21 cm.	9791185459677	180	한국어	도서관/인문사회자료실-6층/	183.6 아51ㄴ	대출가능	I decided to quit my good daughter.jpg
EM196425	단행본	나는 착한 딸을 그만두기로 했다 : 벼랑 끝을 달리는 엄마와 딸을 위한 관계 심리학	아사쿠라 마유미 ; 노부타 사요코 ; 김윤경 옮김.	북라이프	"서울 : 북라이프, 2018."	208 p. ; 21 cm.	9791185459677	180	한국어	도서관/인문사회자료실-6층/	183.6 아51ㄴ 2	대출가능	I decided to quit my good daughter.jpg
EM193132 	단행본	파인 아트를 맛있게 냠냠	한일문고	한일문고	"대전 : 한일문고, 2016."	208 p. ; 26 cm.	9791158750350	600	한국어	도서관/어문학자료실-2층/ 	609.2 한69ㅍ	대출가능	delicious fine art.jpg
EC1890	단행본	세상너머의 세상	우명	참출판사	"서울 : 마음하나, 2003."	287 p. ; 21 cm.	8987523160	200	한국어	도서관/인문사회자료실-6층/	204.1 우34ㅅ	대출가능	The world beyond the world.jpg
													
													
													
													
													
													
													
													
